run_id,checkpoint_name,architecture,seed,stage,task_success,scenario_macro_success,reward,oracle_regret,llm_call_rate,required_call_recall,required_call_precision,required_call_f1,false_call_rate,missed_required_rate,action_macro_f1,action_entropy_nats,resource_cost,language_cost,language_latency_steps,memory_retention,habituation_sequence_success,novelty_reaction,params,active_connections,gates,cpu_inference_ms_mean,cpu_inference_ms_median,cpu_inference_ms_p95
gru128-s2-B4,ppo_final.pt,gru128,2,ppo,0.90625,0.911111111442248,0.8184062242507935,0.20112502574920654,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8149521797069715,0.289479917604731,0.010859373956918716,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029861674999999997,0.029775,0.03058325
gru128-s2-B5,ppo_final.pt,gru128,2,ppo,0.43359375,0.4172842986881733,-0.13361717760562897,1.153148427605629,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.518095544904862,0.26944995785751,0.018085936084389687,0.01835937611758709,3.0,0.4864864945411682,1.0,1.0,56967,56192,384,0.029840255,0.029713,0.030535449999999995
gru128-s2-B6,ppo_final.pt,gru128,2,ppo,1.0,1.0,1.0065780878067017,0.01295316219329834,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9038131947145467,0.2649372221142186,0.010703124105930328,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.02969412,0.0295765,0.0307495
gru128-s2-B7,ppo_final.pt,gru128,2,ppo,0.84375,0.8377859145402908,0.6842343807220459,0.3352968692779541,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8111686008544173,0.3197627781086846,0.02054687589406967,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029780689999999995,0.029649000000000002,0.03057345
gru128-s2-B8,ppo_final.pt,gru128,2,ppo,1.0,1.0,1.00474214553833,0.014789104461669922,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8861126673314134,0.28032521760162427,0.012539062649011612,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031558104999999996,0.031463000000000005,0.03230585
gru128-s3-B0,imitation_best.pt,gru128,3,imitation,1.0,1.0,1.0045859813690186,0.014945268630981445,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8657698655295385,0.29047655684320245,0.0126953125,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.030383065,0.030257,0.0317826
gru128-s3-B0,imitation_final.pt,gru128,3,imitation,1.0,1.0,1.0045859813690186,0.014945268630981445,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8542283693720841,0.29678736511553616,0.0126953125,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029880570000000006,0.0297795,0.03068115
gru128-s3-B1,ppo_final.pt,gru128,3,ppo,0.8515625,0.8333333333333334,0.7077109813690186,0.31182026863098145,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8659910345694638,0.29020718384121064,0.0126953125,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03124886,0.0311315,0.03188775
gru128-s3-B2,ppo_final.pt,gru128,3,ppo,0.83203125,0.8213911602894465,0.6245468854904175,0.3949843645095825,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6455355580890184,0.5290898946834957,0.05679686740040779,0.01835937611758709,3.0,0.4864864945411682,1.0,1.0,56967,56192,384,0.03131362,0.031197,0.0320511
gru128-s3-B3,ppo_final.pt,gru128,3,ppo,1.0,1.0,1.0045859813690186,0.014945268630981445,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8848178982032452,0.28159605187926545,0.0126953125,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031240109999999998,0.03114,0.0319027
gru128-s3-B4,ppo_final.pt,gru128,3,ppo,1.0,1.0,0.9952890872955322,0.024242162704467773,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6961852949402397,0.28310877148253794,0.021992186084389687,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031401815,0.0312985,0.032269849999999996
gru128-s3-B5,ppo_final.pt,gru128,3,ppo,0.421875,0.41111111144224805,-0.15467186272144318,1.1742031127214432,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.46933657458460937,0.19593407138045568,0.015703124925494194,0.01835937611758709,3.0,0.0,1.0,1.0,56967,56192,384,0.03132091,0.031215,0.031971549999999994
gru128-s3-B6,ppo_final.pt,gru128,3,ppo,1.0,1.0,1.0054843425750732,0.014046907424926758,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8926780913302345,0.2742092025859073,0.011796874925494194,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031241960000000003,0.031155000000000002,0.03203235
gru128-s3-B7,ppo_final.pt,gru128,3,ppo,0.8515625,0.8333333333333334,0.7061875462532043,0.31334370374679565,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8313148219125855,0.31034549271396034,0.014218750409781933,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03124397,0.031113,0.03218715
gru128-s3-B8,ppo_final.pt,gru128,3,ppo,1.0,1.0,1.0045859813690186,0.014945268630981445,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8848178982032452,0.28159605187926545,0.0126953125,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03153501,0.0313805,0.032677250000000005
